Camera,Camera_folder,Species,DateTimeOriginal,Date,Sheep,Time,delta.time.secs,Directory,FileName,Classification,DST,Time_DST_Corrected,Time_Decimal,Time_Scaled,Time_Radians,Time_Sun
C03,C03_110420_033121,Bobcat,1/20/2021 5:32,1/19/21,N,5:32:56,32853,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_1498.JPG,Bobcat,FALSE,5H 32M 56S,NA,NA,NA,NA
C03,C03_110420_033121,Bobcat,1/24/2021 8:05,1/23/21,N,8:05:07,354729,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_1540.JPG,Bobcat,FALSE,8H 5M 7S,NA,NA,NA,NA
C03,C03_110420_033121,Bobcat,1/28/2021 18:41,1/27/21,N,18:41:26,383777,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_1588.JPG,Bobcat,FALSE,18H 41M 26S,NA,NA,NA,NA
C03,C03_110420_033121,Bobcat,2/3/2021 6:51,2/2/21,N,6:51:24,475796,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_1615.JPG,Bobcat,FALSE,6H 51M 24S,NA,NA,NA,NA
C03,C03_110420_033121,Bobcat,2/4/2021 14:16,2/3/21,N,14:16:23,113097,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_1735.JPG,Bobcat,FALSE,14H 16M 23S,NA,NA,NA,NA
C03,C03_110420_033121,Bobcat,2/5/2021 1:01,2/4/21,N,1:01:17,38692,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_1742.JPG,Bobcat,FALSE,1H 1M 17S,NA,NA,NA,NA
C03,C03_110420_033121,Bobcat,2/5/2021 6:16,2/4/21,N,6:16:18,18896,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_1753.JPG,Bobcat,FALSE,6H 16M 18S,NA,NA,NA,NA
C03,C03_110420_033121,Bobcat,2/5/2021 7:36,2/4/21,N,7:36:58,4834,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_1759.JPG,Bobcat,FALSE,7H 36M 58S,NA,NA,NA,NA
C03,C03_110420_033121,Bobcat,2/5/2021 23:14,2/4/21,N,23:14:51,56271,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_1837.JPG,Bobcat,FALSE,23H 14M 51S,NA,NA,NA,NA
C03,C03_110420_033121,Bobcat,2/6/2021 2:45,2/5/21,N,2:45:38,12633,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_1846.JPG,Bobcat,FALSE,2H 45M 38S,NA,NA,NA,NA
C03,C03_110420_033121,Bobcat,2/6/2021 9:00,2/5/21,N,9:00:43,22500,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_1882.JPG,Bobcat,FALSE,9H 0M 43S,NA,NA,NA,NA
C03,C03_110420_033121,Bobcat,2/8/2021 6:01,2/7/21,N,6:01:39,162050,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_1954.JPG,Bobcat,FALSE,6H 1M 39S,NA,NA,NA,NA
C03,C03_110420_033121,Bobcat,2/8/2021 14:40,2/7/21,N,14:40:46,31140,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_1960.JPG,Bobcat,FALSE,14H 40M 46S,NA,NA,NA,NA
C03,C03_110420_033121,Bobcat,2/26/2021 9:05,2/25/21,N,9:05:43,1535095,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_2164.JPG,Bobcat,FALSE,9H 5M 43S,NA,NA,NA,NA
