Camera,Month,Bobcat_RAI,Fire
D08,may.2017,0,N
D10,may.2017,0,N
D12,may.2017,0,N
D14,may.2017,0.06451613,N
D16,may.2017,0,N
E05,may.2017,0,N
E07,may.2017,0,N
E09,may.2017,0,N
E11,may.2017,0,N
E13,may.2017,0,N
E15,may.2017,0.06451613,N
E17,may.2017,0,N
F04,may.2017,0,N
F06,may.2017,0,N
F08,may.2017,0,N
F10,may.2017,0,N
G09,may.2017,0,N
G11,may.2017,0,N
A03,june.2017,0,N
A13,june.2017,0,N
B02,june.2017,0,N
B04,june.2017,0,N
B06,june.2017,0,N
B08,june.2017,0,N
B10,june.2017,0,N
B12,june.2017,0,N
B14,june.2017,0,N
C03,june.2017,0,N
C05,june.2017,0,N
C07,june.2017,0,N
C09,june.2017,0,N
C11,june.2017,0.03333333,N
C15,june.2017,0,N
C17,june.2017,0,N
D04,june.2017,0,N
D06,june.2017,0,N
D08,june.2017,0,N
D10,june.2017,0,N
D12,june.2017,0,N
D14,june.2017,0.03333333,N
D16,june.2017,0,N
E05,june.2017,0,N
E07,june.2017,0,N
E09,june.2017,0,N
E11,june.2017,0,N
E13,june.2017,0,N
E15,june.2017,0.1,N
E17,june.2017,0,N
F04,june.2017,0,N
F06,june.2017,0,N
F08,june.2017,0,N
F10,june.2017,0,N
G09,june.2017,0,N
G11,june.2017,0,N
A03,july.2017,0,N
A13,july.2017,0,N
B02,july.2017,0,N
B04,july.2017,0,N
B06,july.2017,0,N
B08,july.2017,0,N
B10,july.2017,0,N
B12,july.2017,0,N
B14,july.2017,0,N
C03,july.2017,0,N
C05,july.2017,0,N
C07,july.2017,0,N
C09,july.2017,0,N
C11,july.2017,0,N
C15,july.2017,0,N
C17,july.2017,0,N
D04,july.2017,0,N
D06,july.2017,0,N
D08,july.2017,0,N
D10,july.2017,0,N
D12,july.2017,0,N
D14,july.2017,0,N
D16,july.2017,0,N
E05,july.2017,0,N
E07,july.2017,0.03225806,N
E09,july.2017,0,N
E11,july.2017,0,N
E13,july.2017,0,N
E15,july.2017,0,N
E17,july.2017,0,N
F04,july.2017,0,N
F06,july.2017,0,N
F08,july.2017,0,N
F10,july.2017,0,N
G09,july.2017,0,N
