"Camera","Class","Count","Operation","RAI","TimePeriod"
"A03","Bear",0,31,0,"january.2021"
"A13","Bear",0,31,0,"january.2021"
"B02","Bear",1,31,0.032258064516129,"january.2021"
"B04","Bear",0,31,0,"january.2021"
"B06","Bear",0,31,0,"january.2021"
"B08","Bear",0,31,0,"january.2021"
"B10","Bear",0,31,0,"january.2021"
"B12","Bear",0,31,0,"january.2021"
"B14","Bear",0,31,0,"january.2021"
"C03","Bear",0,31,0,"january.2021"
"C05","Bear",0,31,0,"january.2021"
"C07","Bear",0,31,0,"january.2021"
"C09","Bear",0,31,0,"january.2021"
"C11","Bear",0,31,0,"january.2021"
"C15","Bear",0,31,0,"january.2021"
"C17","Bear",0,31,0,"january.2021"
"D04","Bear",0,31,0,"january.2021"
"D06","Bear",0,31,0,"january.2021"
"D08","Bear",0,31,0,"january.2021"
"D10","Bear",0,31,0,"january.2021"
"D12","Bear",0,31,0,"january.2021"
"D14","Bear",0,31,0,"january.2021"
"D16","Bear",0,31,0,"january.2021"
"E05","Bear",0,31,0,"january.2021"
"E07","Bear",0,31,0,"january.2021"
"E11","Bear",0,31,0,"january.2021"
"E13","Bear",0,31,0,"january.2021"
"E15","Bear",0,31,0,"january.2021"
"F04","Bear",0,0,NA,"january.2021"
"F06","Bear",1,31,0.032258064516129,"january.2021"
"F08","Bear",0,31,0,"january.2021"
"F10","Bear",0,31,0,"january.2021"
"G09","Bear",0,31,0,"january.2021"
"G11","Bear",0,31,0,"january.2021"
"A03","Bird",0,31,0,"january.2021"
"A13","Bird",4,31,0.129032258064516,"january.2021"
"B02","Bird",3,31,0.0967741935483871,"january.2021"
"B04","Bird",0,31,0,"january.2021"
"B06","Bird",0,31,0,"january.2021"
"B08","Bird",1,31,0.032258064516129,"january.2021"
"B10","Bird",0,31,0,"january.2021"
"B12","Bird",0,31,0,"january.2021"
"B14","Bird",2,31,0.0645161290322581,"january.2021"
"C03","Bird",0,31,0,"january.2021"
"C05","Bird",0,31,0,"january.2021"
"C07","Bird",0,31,0,"january.2021"
"C09","Bird",0,31,0,"january.2021"
"C11","Bird",0,31,0,"january.2021"
"C15","Bird",0,31,0,"january.2021"
"C17","Bird",0,31,0,"january.2021"
"D04","Bird",0,31,0,"january.2021"
"D06","Bird",0,31,0,"january.2021"
"D08","Bird",0,31,0,"january.2021"
"D10","Bird",3,31,0.0967741935483871,"january.2021"
"D12","Bird",0,31,0,"january.2021"
"D14","Bird",0,31,0,"january.2021"
"D16","Bird",0,31,0,"january.2021"
"E05","Bird",0,31,0,"january.2021"
"E07","Bird",0,31,0,"january.2021"
"E11","Bird",0,31,0,"january.2021"
"E13","Bird",0,31,0,"january.2021"
"E15","Bird",0,31,0,"january.2021"
"F04","Bird",0,0,NA,"january.2021"
"F06","Bird",0,31,0,"january.2021"
"F08","Bird",0,31,0,"january.2021"
"F10","Bird",0,31,0,"january.2021"
"G09","Bird",0,31,0,"january.2021"
"G11","Bird",0,31,0,"january.2021"
"A03","Bobcat",0,31,0,"january.2021"
"A13","Bobcat",0,31,0,"january.2021"
"B02","Bobcat",1,31,0.032258064516129,"january.2021"
"B04","Bobcat",0,31,0,"january.2021"
"B06","Bobcat",0,31,0,"january.2021"
"B08","Bobcat",0,31,0,"january.2021"
"B10","Bobcat",3,31,0.0967741935483871,"january.2021"
"B12","Bobcat",1,31,0.032258064516129,"january.2021"
"B14","Bobcat",0,31,0,"january.2021"
"C03","Bobcat",6,31,0.193548387096774,"january.2021"
"C05","Bobcat",0,31,0,"january.2021"
"C07","Bobcat",0,31,0,"january.2021"
"C09","Bobcat",0,31,0,"january.2021"
"C11","Bobcat",0,31,0,"january.2021"
"C15","Bobcat",1,31,0.032258064516129,"january.2021"
"C17","Bobcat",0,31,0,"january.2021"
"D04","Bobcat",0,31,0,"january.2021"
"D06","Bobcat",0,31,0,"january.2021"
"D08","Bobcat",2,31,0.0645161290322581,"january.2021"
"D10","Bobcat",1,31,0.032258064516129,"january.2021"
"D12","Bobcat",0,31,0,"january.2021"
"D14","Bobcat",0,31,0,"january.2021"
"D16","Bobcat",1,31,0.032258064516129,"january.2021"
"E05","Bobcat",0,31,0,"january.2021"
"E07","Bobcat",0,31,0,"january.2021"
"E11","Bobcat",0,31,0,"january.2021"
"E13","Bobcat",0,31,0,"january.2021"
"E15","Bobcat",0,31,0,"january.2021"
"F04","Bobcat",0,0,NA,"january.2021"
"F06","Bobcat",0,31,0,"january.2021"
"F08","Bobcat",0,31,0,"january.2021"
"F10","Bobcat",1,31,0.032258064516129,"january.2021"
"G09","Bobcat",0,31,0,"january.2021"
"G11","Bobcat",2,31,0.0645161290322581,"january.2021"
"A03","Coyote",0,31,0,"january.2021"
"A13","Coyote",1,31,0.032258064516129,"january.2021"
"B02","Coyote",5,31,0.161290322580645,"january.2021"
"B04","Coyote",1,31,0.032258064516129,"january.2021"
"B06","Coyote",0,31,0,"january.2021"
"B08","Coyote",0,31,0,"january.2021"
"B10","Coyote",0,31,0,"january.2021"
"B12","Coyote",1,31,0.032258064516129,"january.2021"
"B14","Coyote",1,31,0.032258064516129,"january.2021"
"C03","Coyote",7,31,0.225806451612903,"january.2021"
"C05","Coyote",0,31,0,"january.2021"
"C07","Coyote",0,31,0,"january.2021"
"C09","Coyote",1,31,0.032258064516129,"january.2021"
"C11","Coyote",1,31,0.032258064516129,"january.2021"
"C15","Coyote",0,31,0,"january.2021"
"C17","Coyote",0,31,0,"january.2021"
"D04","Coyote",0,31,0,"january.2021"
"D06","Coyote",0,31,0,"january.2021"
"D08","Coyote",0,31,0,"january.2021"
"D10","Coyote",0,31,0,"january.2021"
"D12","Coyote",1,31,0.032258064516129,"january.2021"
"D14","Coyote",0,31,0,"january.2021"
"D16","Coyote",0,31,0,"january.2021"
"E05","Coyote",4,31,0.129032258064516,"january.2021"
"E07","Coyote",1,31,0.032258064516129,"january.2021"
"E11","Coyote",0,31,0,"january.2021"
"E13","Coyote",1,31,0.032258064516129,"january.2021"
"E15","Coyote",1,31,0.032258064516129,"january.2021"
"F04","Coyote",0,0,NA,"january.2021"
"F06","Coyote",0,31,0,"january.2021"
"F08","Coyote",0,31,0,"january.2021"
"F10","Coyote",0,31,0,"january.2021"
"G09","Coyote",0,31,0,"january.2021"
"G11","Coyote",0,31,0,"january.2021"
"A03","Deer - Buck Antlerless",0,31,0,"january.2021"
"A13","Deer - Buck Antlerless",0,31,0,"january.2021"
"B02","Deer - Buck Antlerless",0,31,0,"january.2021"
"B04","Deer - Buck Antlerless",2,31,0.0645161290322581,"january.2021"
"B06","Deer - Buck Antlerless",1,31,0.032258064516129,"january.2021"
"B08","Deer - Buck Antlerless",4,31,0.129032258064516,"january.2021"
"B10","Deer - Buck Antlerless",0,31,0,"january.2021"
"B12","Deer - Buck Antlerless",0,31,0,"january.2021"
"B14","Deer - Buck Antlerless",8,31,0.258064516129032,"january.2021"
"C03","Deer - Buck Antlerless",0,31,0,"january.2021"
"C05","Deer - Buck Antlerless",1,31,0.032258064516129,"january.2021"
"C07","Deer - Buck Antlerless",0,31,0,"january.2021"
"C09","Deer - Buck Antlerless",1,31,0.032258064516129,"january.2021"
"C11","Deer - Buck Antlerless",0,31,0,"january.2021"
"C15","Deer - Buck Antlerless",6,31,0.193548387096774,"january.2021"
"C17","Deer - Buck Antlerless",0,31,0,"january.2021"
"D04","Deer - Buck Antlerless",0,31,0,"january.2021"
"D06","Deer - Buck Antlerless",0,31,0,"january.2021"
"D08","Deer - Buck Antlerless",5,31,0.161290322580645,"january.2021"
"D10","Deer - Buck Antlerless",0,31,0,"january.2021"
"D12","Deer - Buck Antlerless",1,31,0.032258064516129,"january.2021"
"D14","Deer - Buck Antlerless",0,31,0,"january.2021"
"D16","Deer - Buck Antlerless",0,31,0,"january.2021"
"E05","Deer - Buck Antlerless",0,31,0,"january.2021"
"E07","Deer - Buck Antlerless",0,31,0,"january.2021"
"E11","Deer - Buck Antlerless",1,31,0.032258064516129,"january.2021"
"E13","Deer - Buck Antlerless",2,31,0.0645161290322581,"january.2021"
"E15","Deer - Buck Antlerless",0,31,0,"january.2021"
"F04","Deer - Buck Antlerless",0,0,NA,"january.2021"
"F06","Deer - Buck Antlerless",3,31,0.0967741935483871,"january.2021"
"F08","Deer - Buck Antlerless",0,31,0,"january.2021"
"F10","Deer - Buck Antlerless",0,31,0,"january.2021"
"G09","Deer - Buck Antlerless",0,31,0,"january.2021"
"G11","Deer - Buck Antlerless",0,31,0,"january.2021"
"A03","Deer - Buck Legal",8,31,0.258064516129032,"january.2021"
"A13","Deer - Buck Legal",0,31,0,"january.2021"
"B02","Deer - Buck Legal",2,31,0.0645161290322581,"january.2021"
"B04","Deer - Buck Legal",16,31,0.516129032258065,"january.2021"
"B06","Deer - Buck Legal",5,31,0.161290322580645,"january.2021"
"B08","Deer - Buck Legal",7,31,0.225806451612903,"january.2021"
"B10","Deer - Buck Legal",2,31,0.0645161290322581,"january.2021"
"B12","Deer - Buck Legal",1,31,0.032258064516129,"january.2021"
"B14","Deer - Buck Legal",2,31,0.0645161290322581,"january.2021"
