Camera,Phase,Latitude,Longitude,Start,End,Problem1_From,Problem1_To,Operation,Foxlight,Sheep_Presence
Cam08,Phase5,38.99002,-123.06616,3/24/19,6/27/19,,,95,FoxY,Y
Cam08,Phase6,38.99002,-123.06616,6/27/19,8/29/19,6/27/19,8/29/19,0,FoxN,
Cam08,Phase7,38.99002,-123.06616,8/29/19,10/10/19,,,42,FoxY,N
Cam08,Phase8,38.99002,-123.06616,10/10/19,12/11/19,,,62,FoxN,N
Cam08,Phase9,38.99002,-123.06616,12/11/19,1/29/20,,,49,FoxY,Y
Cam09,Phase1,39.0066,-123.0793,10/20/18,12/9/18,,,50,FoxN,N
Cam09,Phase2,39.0066,-123.0793,12/9/18,1/13/19,,,35,FoxY,N
Cam09,Phase3,39.0066,-123.0793,1/13/19,2/17/19,,,35,FoxN,N
Cam09,Phase4,39.0066,-123.0793,2/17/19,3/24/19,,,35,FoxY,Y
Cam09,Phase5,39.0066,-123.0793,3/24/19,6/27/19,4/20/19,6/27/19,27,FoxN,Y
Cam09,Phase6,39.0066,-123.0793,6/27/19,8/29/19,6/27/19,8/29/19,0,FoxY,
Cam09,Phase7,39.0066,-123.0793,8/29/19,10/10/19,9/6/19,10/10/19,8,FoxN,N
Cam09,Phase8,39.0066,-123.0793,10/10/19,12/11/19,11/16/19,12/11/19,37,FoxY,Y
Cam09,Phase9,39.0066,-123.0793,12/11/19,1/29/20,1/21/20,1/29/20,41,FoxN,N
Cam10,Phase1,39.0065,-123.0838,10/20/18,12/9/18,,,50,FoxY,N
Cam10,Phase2,39.0065,-123.0838,12/9/18,1/13/19,,,35,FoxN,N
Cam10,Phase3,39.0065,-123.0838,1/13/19,2/17/19,,,35,FoxY,N
Cam10,Phase4,39.0065,-123.0838,2/17/19,3/24/19,,,35,FoxN,Y
Cam10,Phase5,39.0065,-123.0838,3/24/19,6/27/19,,,95,FoxY,Y
Cam10,Phase6,39.0065,-123.0838,6/27/19,8/29/19,,,63,FoxN,Y
Cam10,Phase7,39.0065,-123.0838,8/29/19,10/10/19,,,42,FoxY,N
Cam10,Phase8,39.0065,-123.0838,10/10/19,12/11/19,,,62,FoxN,Y
Cam10,Phase9,39.0065,-123.0838,12/11/19,1/29/20,,,49,FoxY,N
Cam11,Phase1,38.9927,-123.0757,10/21/18,12/9/18,,,49,FoxN,N
Cam11,Phase2,38.9927,-123.0757,12/9/18,1/13/19,12/25/18,1/13/19,16,FoxY,Y
Cam11,Phase3,38.9927,-123.0757,1/13/19,2/17/19,,,35,FoxN,N
Cam11,Phase4,38.9927,-123.0757,2/17/19,3/24/19,,,35,FoxY,Y
Cam11,Phase5,38.9927,-123.0757,3/24/19,6/16/19,3/24/19,6/16/19,0,FoxN,
Cam11,Phase6,38.9927,-123.0757,6/27/19,8/29/19,7/2/19,8/29/19,5,FoxY,N
Cam11,Phase7,38.9927,-123.0757,8/29/19,10/10/19,,,42,FoxN,N
Cam11,Phase8,38.9927,-123.0757,10/10/19,12/11/19,,,62,FoxY,N
Cam11,Phase9,38.9927,-123.0757,12/11/19,1/29/20,,,49,FoxN,N
Cam12,Phase1,38.99191,-123.0711,10/21/18,12/9/18,,,49,FoxY,N
Cam12,Phase2,38.99191,-123.0711,12/9/18,1/13/19,,,35,FoxN,Y
Cam12,Phase3,38.99191,-123.0711,1/13/19,2/17/19,,,35,FoxY,N
Cam12,Phase4,38.99191,-123.0711,2/17/19,3/24/19,,,35,FoxN,N
Cam12,Phase5,38.99191,-123.0711,3/24/19,6/16/19,3/24/19,6/16/19,0,FoxY,
Cam12,Phase6,38.99191,-123.0711,6/27/19,8/29/19,6/30/19,8/29/19,3,FoxN,N
Cam12,Phase7,38.99191,-123.0711,8/29/19,10/10/19,9/1/19,10/10/19,3,FoxY,N
Cam12,Phase8,38.99191,-123.0711,10/10/19,12/11/19,11/06/19,12/11/19,27,FoxN,N
Cam12,Phase9,38.99191,-123.0711,12/11/19,1/29/20,,,49,FoxY,N
