"Camera","Class","Count","Operation","RAI","TimePeriod"
"A03","Bear",0,31,0,"march.2020"
"A13","Bear",0,31,0,"march.2020"
"B02","Bear",0,31,0,"march.2020"
"B04","Bear",0,31,0,"march.2020"
"B06","Bear",0,31,0,"march.2020"
"B08","Bear",0,31,0,"march.2020"
"B10","Bear",0,31,0,"march.2020"
"B12","Bear",0,31,0,"march.2020"
"B14","Bear",0,31,0,"march.2020"
"C03","Bear",1,31,0.032258064516129,"march.2020"
"C05","Bear",0,31,0,"march.2020"
"C07","Bear",0,31,0,"march.2020"
"C09","Bear",0,31,0,"march.2020"
"C11","Bear",0,31,0,"march.2020"
"C15","Bear",0,31,0,"march.2020"
"C17","Bear",0,31,0,"march.2020"
"D04","Bear",0,31,0,"march.2020"
"D06","Bear",0,31,0,"march.2020"
"D08","Bear",0,31,0,"march.2020"
"D10","Bear",0,31,0,"march.2020"
"D12","Bear",0,31,0,"march.2020"
"D14","Bear",0,31,0,"march.2020"
"D16","Bear",0,31,0,"march.2020"
"E05","Bear",0,31,0,"march.2020"
"E07","Bear",0,31,0,"march.2020"
"E09","Bear",0,31,0,"march.2020"
"E11","Bear",0,31,0,"march.2020"
"E13","Bear",0,31,0,"march.2020"
"E15","Bear",0,31,0,"march.2020"
"E17","Bear",0,31,0,"march.2020"
"F04","Bear",0,31,0,"march.2020"
"F06","Bear",0,31,0,"march.2020"
"F08","Bear",0,31,0,"march.2020"
"F10","Bear",0,31,0,"march.2020"
"G09","Bear",0,31,0,"march.2020"
"G11","Bear",0,31,0,"march.2020"
"A03","Bird",0,31,0,"march.2020"
"A13","Bird",3,31,0.0967741935483871,"march.2020"
"B02","Bird",3,31,0.0967741935483871,"march.2020"
"B04","Bird",0,31,0,"march.2020"
"B06","Bird",0,31,0,"march.2020"
"B08","Bird",0,31,0,"march.2020"
"B10","Bird",0,31,0,"march.2020"
"B12","Bird",0,31,0,"march.2020"
"B14","Bird",1,31,0.032258064516129,"march.2020"
"C03","Bird",0,31,0,"march.2020"
"C05","Bird",0,31,0,"march.2020"
"C07","Bird",0,31,0,"march.2020"
"C09","Bird",0,31,0,"march.2020"
"C11","Bird",3,31,0.0967741935483871,"march.2020"
"C15","Bird",0,31,0,"march.2020"
"C17","Bird",0,31,0,"march.2020"
"D04","Bird",0,31,0,"march.2020"
"D06","Bird",0,31,0,"march.2020"
"D08","Bird",0,31,0,"march.2020"
"D10","Bird",0,31,0,"march.2020"
"D12","Bird",0,31,0,"march.2020"
"D14","Bird",0,31,0,"march.2020"
"D16","Bird",0,31,0,"march.2020"
"E05","Bird",0,31,0,"march.2020"
"E07","Bird",0,31,0,"march.2020"
"E09","Bird",0,31,0,"march.2020"
"E11","Bird",0,31,0,"march.2020"
"E13","Bird",0,31,0,"march.2020"
"E15","Bird",0,31,0,"march.2020"
"E17","Bird",2,31,0.0645161290322581,"march.2020"
"F04","Bird",0,31,0,"march.2020"
"F06","Bird",0,31,0,"march.2020"
"F08","Bird",0,31,0,"march.2020"
"F10","Bird",0,31,0,"march.2020"
"G09","Bird",0,31,0,"march.2020"
"G11","Bird",0,31,0,"march.2020"
"A03","Bobcat",0,31,0,"march.2020"
"A13","Bobcat",0,31,0,"march.2020"
"B02","Bobcat",1,31,0.032258064516129,"march.2020"
"B04","Bobcat",0,31,0,"march.2020"
"B06","Bobcat",0,31,0,"march.2020"
"B08","Bobcat",0,31,0,"march.2020"
"B10","Bobcat",0,31,0,"march.2020"
"B12","Bobcat",0,31,0,"march.2020"
"B14","Bobcat",0,31,0,"march.2020"
"C03","Bobcat",5,31,0.161290322580645,"march.2020"
"C05","Bobcat",0,31,0,"march.2020"
"C07","Bobcat",0,31,0,"march.2020"
"C09","Bobcat",0,31,0,"march.2020"
"C11","Bobcat",1,31,0.032258064516129,"march.2020"
"C15","Bobcat",4,31,0.129032258064516,"march.2020"
"C17","Bobcat",0,31,0,"march.2020"
"D04","Bobcat",0,31,0,"march.2020"
"D06","Bobcat",0,31,0,"march.2020"
"D08","Bobcat",0,31,0,"march.2020"
"D10","Bobcat",1,31,0.032258064516129,"march.2020"
"D12","Bobcat",0,31,0,"march.2020"
"D14","Bobcat",0,31,0,"march.2020"
"D16","Bobcat",0,31,0,"march.2020"
"E05","Bobcat",1,31,0.032258064516129,"march.2020"
"E07","Bobcat",0,31,0,"march.2020"
"E09","Bobcat",0,31,0,"march.2020"
"E11","Bobcat",0,31,0,"march.2020"
"E13","Bobcat",0,31,0,"march.2020"
"E15","Bobcat",0,31,0,"march.2020"
"E17","Bobcat",0,31,0,"march.2020"
"F04","Bobcat",0,31,0,"march.2020"
"F06","Bobcat",0,31,0,"march.2020"
"F08","Bobcat",0,31,0,"march.2020"
"F10","Bobcat",0,31,0,"march.2020"
"G09","Bobcat",0,31,0,"march.2020"
"G11","Bobcat",0,31,0,"march.2020"
"A03","Coyote",2,31,0.0645161290322581,"march.2020"
"A13","Coyote",0,31,0,"march.2020"
"B02","Coyote",1,31,0.032258064516129,"march.2020"
"B04","Coyote",0,31,0,"march.2020"
"B06","Coyote",0,31,0,"march.2020"
"B08","Coyote",0,31,0,"march.2020"
"B10","Coyote",0,31,0,"march.2020"
"B12","Coyote",0,31,0,"march.2020"
"B14","Coyote",1,31,0.032258064516129,"march.2020"
"C03","Coyote",3,31,0.0967741935483871,"march.2020"
"C05","Coyote",1,31,0.032258064516129,"march.2020"
"C07","Coyote",0,31,0,"march.2020"
"C09","Coyote",1,31,0.032258064516129,"march.2020"
"C11","Coyote",0,31,0,"march.2020"
"C15","Coyote",1,31,0.032258064516129,"march.2020"
"C17","Coyote",0,31,0,"march.2020"
"D04","Coyote",4,31,0.129032258064516,"march.2020"
"D06","Coyote",0,31,0,"march.2020"
"D08","Coyote",0,31,0,"march.2020"
"D10","Coyote",0,31,0,"march.2020"
"D12","Coyote",0,31,0,"march.2020"
"D14","Coyote",0,31,0,"march.2020"
"D16","Coyote",0,31,0,"march.2020"
"E05","Coyote",1,31,0.032258064516129,"march.2020"
"E07","Coyote",1,31,0.032258064516129,"march.2020"
"E09","Coyote",0,31,0,"march.2020"
"E11","Coyote",0,31,0,"march.2020"
"E13","Coyote",0,31,0,"march.2020"
"E15","Coyote",0,31,0,"march.2020"
"E17","Coyote",1,31,0.032258064516129,"march.2020"
"F04","Coyote",0,31,0,"march.2020"
"F06","Coyote",0,31,0,"march.2020"
"F08","Coyote",0,31,0,"march.2020"
"F10","Coyote",1,31,0.032258064516129,"march.2020"
"G09","Coyote",0,31,0,"march.2020"
"G11","Coyote",0,31,0,"march.2020"
"A03","Deer - Buck Antlerless",15,31,0.483870967741935,"march.2020"
"A13","Deer - Buck Antlerless",0,31,0,"march.2020"
"B02","Deer - Buck Antlerless",0,31,0,"march.2020"
"B04","Deer - Buck Antlerless",4,31,0.129032258064516,"march.2020"
"B06","Deer - Buck Antlerless",1,31,0.032258064516129,"march.2020"
"B08","Deer - Buck Antlerless",0,31,0,"march.2020"
"B10","Deer - Buck Antlerless",0,31,0,"march.2020"
"B12","Deer - Buck Antlerless",1,31,0.032258064516129,"march.2020"
"B14","Deer - Buck Antlerless",15,31,0.483870967741935,"march.2020"
"C03","Deer - Buck Antlerless",3,31,0.0967741935483871,"march.2020"
"C05","Deer - Buck Antlerless",5,31,0.161290322580645,"march.2020"
"C07","Deer - Buck Antlerless",11,31,0.354838709677419,"march.2020"
"C09","Deer - Buck Antlerless",1,31,0.032258064516129,"march.2020"
"C11","Deer - Buck Antlerless",1,31,0.032258064516129,"march.2020"
"C15","Deer - Buck Antlerless",10,31,0.32258064516129,"march.2020"
"C17","Deer - Buck Antlerless",3,31,0.0967741935483871,"march.2020"
"D04","Deer - Buck Antlerless",6,31,0.193548387096774,"march.2020"
"D06","Deer - Buck Antlerless",3,31,0.0967741935483871,"march.2020"
"D08","Deer - Buck Antlerless",1,31,0.032258064516129,"march.2020"
"D10","Deer - Buck Antlerless",6,31,0.193548387096774,"march.2020"
"D12","Deer - Buck Antlerless",1,31,0.032258064516129,"march.2020"
"D14","Deer - Buck Antlerless",0,31,0,"march.2020"
"D16","Deer - Buck Antlerless",2,31,0.0645161290322581,"march.2020"
"E05","Deer - Buck Antlerless",9,31,0.290322580645161,"march.2020"
"E07","Deer - Buck Antlerless",2,31,0.0645161290322581,"march.2020"
"E09","Deer - Buck Antlerless",3,31,0.0967741935483871,"march.2020"
"E11","Deer - Buck Antlerless",0,31,0,"march.2020"
"E13","Deer - Buck Antlerless",0,31,0,"march.2020"
"E15","Deer - Buck Antlerless",0,31,0,"march.2020"
"E17","Deer - Buck Antlerless",0,31,0,"march.2020"
"F04","Deer - Buck Antlerless",0,31,0,"march.2020"
"F06","Deer - Buck Antlerless",0,31,0,"march.2020"
"F08","Deer - Buck Antlerless",3,31,0.0967741935483871,"march.2020"
"F10","Deer - Buck Antlerless",4,31,0.129032258064516,"march.2020"
"G09","Deer - Buck Antlerless",4,31,0.129032258064516,"march.2020"
"G11","Deer - Buck Antlerless",4,31,0.129032258064516,"march.2020"
"A03","Deer - Buck Legal",4,31,0.129032258064516,"march.2020"
"A13","Deer - Buck Legal",0,31,0,"march.2020"
"B02","Deer - Buck Legal",0,31,0,"march.2020"
"B04","Deer - Buck Legal",2,31,0.0645161290322581,"march.2020"
"B06","Deer - Buck Legal",0,31,0,"march.2020"
"B08","Deer - Buck Legal",0,31,0,"march.2020"
"B10","Deer - Buck Legal",0,31,0,"march.2020"
"B12","Deer - Buck Legal",0,31,0,"march.2020"
"B14","Deer - Buck Legal",0,31,0,"march.2020"
"C03","Deer - Buck Legal",0,31,0,"march.2020"
"C05","Deer - Buck Legal",0,31,0,"march.2020"
"C07","Deer - Buck Legal",0,31,0,"march.2020"
"C09","Deer - Buck Legal",0,31,0,"march.2020"
"C11","Deer - Buck Legal",0,31,0,"march.2020"
"C15","Deer - Buck Legal",0,31,0,"march.2020"
"C17","Deer - Buck Legal",0,31,0,"march.2020"
"D04","Deer - Buck Legal",0,31,0,"march.2020"
"D06","Deer - Buck Legal",0,31,0,"march.2020"
"D08","Deer - Buck Legal",0,31,0,"march.2020"
"D10","Deer - Buck Legal",0,31,0,"march.2020"
"D12","Deer - Buck Legal",0,31,0,"march.2020"
"D14","Deer - Buck Legal",0,31,0,"march.2020"
"D16","Deer - Buck Legal",0,31,0,"march.2020"
"E05","Deer - Buck Legal",0,31,0,"march.2020"
"E07","Deer - Buck Legal",0,31,0,"march.2020"
"E09","Deer - Buck Legal",0,31,0,"march.2020"
"E11","Deer - Buck Legal",0,31,0,"march.2020"
"E13","Deer - Buck Legal",0,31,0,"march.2020"
"E15","Deer - Buck Legal",0,31,0,"march.2020"
"E17","Deer - Buck Legal",0,31,0,"march.2020"
"F04","Deer - Buck Legal",0,31,0,"march.2020"
"F06","Deer - Buck Legal",0,31,0,"march.2020"
"F08","Deer - Buck Legal",0,31,0,"march.2020"
"F10","Deer - Buck Legal",0,31,0,"march.2020"
"G09","Deer - Buck Legal",0,31,0,"march.2020"
"G11","Deer - Buck Legal",0,31,0,"march.2020"
"A03","Deer - Buck Spike",2,31,0.0645161290322581,"march.2020"
"A13","Deer - Buck Spike",0,31,0,"march.2020"
"B02","Deer - Buck Spike",0,31,0,"march.2020"
"B04","Deer - Buck Spike",1,31,0.032258064516129,"march.2020"
"B06","Deer - Buck Spike",2,31,0.0645161290322581,"march.2020"
"B08","Deer - Buck Spike",0,31,0,"march.2020"
"B10","Deer - Buck Spike",0,31,0,"march.2020"
"B12","Deer - Buck Spike",0,31,0,"march.2020"
"B14","Deer - Buck Spike",0,31,0,"march.2020"
"C03","Deer - Buck Spike",0,31,0,"march.2020"
"C05","Deer - Buck Spike",0,31,0,"march.2020"
"C07","Deer - Buck Spike",0,31,0,"march.2020"
"C09","Deer - Buck Spike",0,31,0,"march.2020"
"C11","Deer - Buck Spike",0,31,0,"march.2020"
"C15","Deer - Buck Spike",0,31,0,"march.2020"
"C17","Deer - Buck Spike",0,31,0,"march.2020"
"D04","Deer - Buck Spike",0,31,0,"march.2020"
"D06","Deer - Buck Spike",1,31,0.032258064516129,"march.2020"
"D08","Deer - Buck Spike",0,31,0,"march.2020"
"D10","Deer - Buck Spike",0,31,0,"march.2020"
"D12","Deer - Buck Spike",0,31,0,"march.2020"
"D14","Deer - Buck Spike",0,31,0,"march.2020"
"D16","Deer - Buck Spike",0,31,0,"march.2020"
"E05","Deer - Buck Spike",2,31,0.0645161290322581,"march.2020"
"E07","Deer - Buck Spike",0,31,0,"march.2020"
"E09","Deer - Buck Spike",0,31,0,"march.2020"
"E11","Deer - Buck Spike",0,31,0,"march.2020"
"E13","Deer - Buck Spike",0,31,0,"march.2020"
"E15","Deer - Buck Spike",0,31,0,"march.2020"
"E17","Deer - Buck Spike",0,31,0,"march.2020"
"F04","Deer - Buck Spike",0,31,0,"march.2020"
"F06","Deer - Buck Spike",0,31,0,"march.2020"
"F08","Deer - Buck Spike",0,31,0,"march.2020"
"F10","Deer - Buck Spike",0,31,0,"march.2020"
"G09","Deer - Buck Spike",1,31,0.032258064516129,"march.2020"
"G11","Deer - Buck Spike",0,31,0,"march.2020"
"A03","Deer - Buck Young Button",3,31,0.0967741935483871,"march.2020"
"A13","Deer - Buck Young Button",0,31,0,"march.2020"
"B02","Deer - Buck Young Button",1,31,0.032258064516129,"march.2020"
"B04","Deer - Buck Young Button",1,31,0.032258064516129,"march.2020"
"B06","Deer - Buck Young Button",1,31,0.032258064516129,"march.2020"
"B08","Deer - Buck Young Button",0,31,0,"march.2020"
"B10","Deer - Buck Young Button",0,31,0,"march.2020"
"B12","Deer - Buck Young Button",0,31,0,"march.2020"
"B14","Deer - Buck Young Button",0,31,0,"march.2020"
"C03","Deer - Buck Young Button",0,31,0,"march.2020"
"C05","Deer - Buck Young Button",0,31,0,"march.2020"
"C07","Deer - Buck Young Button",0,31,0,"march.2020"
"C09","Deer - Buck Young Button",3,31,0.0967741935483871,"march.2020"
"C11","Deer - Buck Young Button",0,31,0,"march.2020"
"C15","Deer - Buck Young Button",0,31,0,"march.2020"
"C17","Deer - Buck Young Button",1,31,0.032258064516129,"march.2020"
"D04","Deer - Buck Young Button",2,31,0.0645161290322581,"march.2020"
"D06","Deer - Buck Young Button",0,31,0,"march.2020"
"D08","Deer - Buck Young Button",0,31,0,"march.2020"
"D10","Deer - Buck Young Button",1,31,0.032258064516129,"march.2020"
"D12","Deer - Buck Young Button",0,31,0,"march.2020"
"D14","Deer - Buck Young Button",1,31,0.032258064516129,"march.2020"
