"Camera","Class","Count","Operation","RAI","TimePeriod"
"F08","Coyote",1,30,0.0333333333333333,"september.2020"
"F10","Coyote",0,30,0,"september.2020"
"G09","Coyote",0,30,0,"september.2020"
"G11","Coyote",2,30,0.0666666666666667,"september.2020"
"A03","Deer - Buck Legal",3,30,0.1,"september.2020"
"A13","Deer - Buck Legal",0,30,0,"september.2020"
"B02","Deer - Buck Legal",1,30,0.0333333333333333,"september.2020"
"B04","Deer - Buck Legal",10,30,0.333333333333333,"september.2020"
"B06","Deer - Buck Legal",6,30,0.2,"september.2020"
"B08","Deer - Buck Legal",2,30,0.0666666666666667,"september.2020"
"B10","Deer - Buck Legal",1,30,0.0333333333333333,"september.2020"
"B12","Deer - Buck Legal",0,30,0,"september.2020"
"B14","Deer - Buck Legal",5,30,0.166666666666667,"september.2020"
"C03","Deer - Buck Legal",10,30,0.333333333333333,"september.2020"
"C05","Deer - Buck Legal",0,7,0,"september.2020"
"C07","Deer - Buck Legal",2,30,0.0666666666666667,"september.2020"
"C09","Deer - Buck Legal",8,30,0.266666666666667,"september.2020"
"C11","Deer - Buck Legal",1,30,0.0333333333333333,"september.2020"
"C15","Deer - Buck Legal",2,30,0.0666666666666667,"september.2020"
"C17","Deer - Buck Legal",1,30,0.0333333333333333,"september.2020"
"D04","Deer - Buck Legal",3,7,0.428571428571429,"september.2020"
"D06","Deer - Buck Legal",1,8,0.125,"september.2020"
"D08","Deer - Buck Legal",2,8,0.25,"september.2020"
"D10","Deer - Buck Legal",0,6,0,"september.2020"
"D12","Deer - Buck Legal",0,21,0,"september.2020"
"D14","Deer - Buck Legal",0,30,0,"september.2020"
"D16","Deer - Buck Legal",5,30,0.166666666666667,"september.2020"
"E05","Deer - Buck Legal",6,30,0.2,"september.2020"
"E07","Deer - Buck Legal",1,8,0.125,"september.2020"
"E09","Deer - Buck Legal",0,30,0,"september.2020"
"E11","Deer - Buck Legal",1,30,0.0333333333333333,"september.2020"
"E13","Deer - Buck Legal",0,30,0,"september.2020"
"E15","Deer - Buck Legal",0,30,0,"september.2020"
"E17","Deer - Buck Legal",1,30,0.0333333333333333,"september.2020"
"F04","Deer - Buck Legal",0,30,0,"september.2020"
"F06","Deer - Buck Legal",1,30,0.0333333333333333,"september.2020"
"F08","Deer - Buck Legal",5,30,0.166666666666667,"september.2020"
"F10","Deer - Buck Legal",1,30,0.0333333333333333,"september.2020"
"G09","Deer - Buck Legal",16,30,0.533333333333333,"september.2020"
"G11","Deer - Buck Legal",0,30,0,"september.2020"
"A03","Deer - Buck Spike",2,30,0.0666666666666667,"september.2020"
"A13","Deer - Buck Spike",1,30,0.0333333333333333,"september.2020"
"B02","Deer - Buck Spike",1,30,0.0333333333333333,"september.2020"
"B04","Deer - Buck Spike",2,30,0.0666666666666667,"september.2020"
"B06","Deer - Buck Spike",3,30,0.1,"september.2020"
"B08","Deer - Buck Spike",1,30,0.0333333333333333,"september.2020"
"B10","Deer - Buck Spike",0,30,0,"september.2020"
"B12","Deer - Buck Spike",0,30,0,"september.2020"
"B14","Deer - Buck Spike",2,30,0.0666666666666667,"september.2020"
"C03","Deer - Buck Spike",5,30,0.166666666666667,"september.2020"
"C05","Deer - Buck Spike",0,7,0,"september.2020"
"C07","Deer - Buck Spike",2,30,0.0666666666666667,"september.2020"
"C09","Deer - Buck Spike",0,30,0,"september.2020"
"C11","Deer - Buck Spike",1,30,0.0333333333333333,"september.2020"
"C15","Deer - Buck Spike",4,30,0.133333333333333,"september.2020"
"C17","Deer - Buck Spike",0,30,0,"september.2020"
"D04","Deer - Buck Spike",3,7,0.428571428571429,"september.2020"
"D06","Deer - Buck Spike",0,8,0,"september.2020"
"D08","Deer - Buck Spike",1,8,0.125,"september.2020"
"D10","Deer - Buck Spike",2,6,0.333333333333333,"september.2020"
"D12","Deer - Buck Spike",0,21,0,"september.2020"
"D14","Deer - Buck Spike",0,30,0,"september.2020"
"D16","Deer - Buck Spike",1,30,0.0333333333333333,"september.2020"
"E05","Deer - Buck Spike",3,30,0.1,"september.2020"
"E07","Deer - Buck Spike",2,8,0.25,"september.2020"
"E09","Deer - Buck Spike",3,30,0.1,"september.2020"
"E11","Deer - Buck Spike",6,30,0.2,"september.2020"
"E13","Deer - Buck Spike",0,30,0,"september.2020"
"E15","Deer - Buck Spike",0,30,0,"september.2020"
"E17","Deer - Buck Spike",0,30,0,"september.2020"
"F04","Deer - Buck Spike",0,30,0,"september.2020"
"F06","Deer - Buck Spike",1,30,0.0333333333333333,"september.2020"
"F08","Deer - Buck Spike",5,30,0.166666666666667,"september.2020"
"F10","Deer - Buck Spike",5,30,0.166666666666667,"september.2020"
"G09","Deer - Buck Spike",3,30,0.1,"september.2020"
"G11","Deer - Buck Spike",0,30,0,"september.2020"
"A03","Deer - Buck Young Button",0,30,0,"september.2020"
"A13","Deer - Buck Young Button",0,30,0,"september.2020"
"B02","Deer - Buck Young Button",0,30,0,"september.2020"
"B04","Deer - Buck Young Button",0,30,0,"september.2020"
"B06","Deer - Buck Young Button",0,30,0,"september.2020"
"B08","Deer - Buck Young Button",0,30,0,"september.2020"
"B10","Deer - Buck Young Button",0,30,0,"september.2020"
"B12","Deer - Buck Young Button",0,30,0,"september.2020"
"B14","Deer - Buck Young Button",0,30,0,"september.2020"
"C03","Deer - Buck Young Button",4,30,0.133333333333333,"september.2020"
"C05","Deer - Buck Young Button",0,7,0,"september.2020"
"C07","Deer - Buck Young Button",0,30,0,"september.2020"
"C09","Deer - Buck Young Button",0,30,0,"september.2020"
"C11","Deer - Buck Young Button",1,30,0.0333333333333333,"september.2020"
"C15","Deer - Buck Young Button",1,30,0.0333333333333333,"september.2020"
"C17","Deer - Buck Young Button",0,30,0,"september.2020"
"D04","Deer - Buck Young Button",5,7,0.714285714285714,"september.2020"
"D06","Deer - Buck Young Button",0,8,0,"september.2020"
"D08","Deer - Buck Young Button",0,8,0,"september.2020"
"D10","Deer - Buck Young Button",0,6,0,"september.2020"
"D12","Deer - Buck Young Button",0,21,0,"september.2020"
"D14","Deer - Buck Young Button",1,30,0.0333333333333333,"september.2020"
"D16","Deer - Buck Young Button",1,30,0.0333333333333333,"september.2020"
"E05","Deer - Buck Young Button",0,30,0,"september.2020"
"E07","Deer - Buck Young Button",0,8,0,"september.2020"
"E09","Deer - Buck Young Button",0,30,0,"september.2020"
"E11","Deer - Buck Young Button",1,30,0.0333333333333333,"september.2020"
"E13","Deer - Buck Young Button",1,30,0.0333333333333333,"september.2020"
"E15","Deer - Buck Young Button",0,30,0,"september.2020"
"E17","Deer - Buck Young Button",0,30,0,"september.2020"
"F04","Deer - Buck Young Button",0,30,0,"september.2020"
"F06","Deer - Buck Young Button",0,30,0,"september.2020"
"F08","Deer - Buck Young Button",2,30,0.0666666666666667,"september.2020"
"F10","Deer - Buck Young Button",1,30,0.0333333333333333,"september.2020"
"G09","Deer - Buck Young Button",0,30,0,"september.2020"
"G11","Deer - Buck Young Button",2,30,0.0666666666666667,"september.2020"
"A03","Deer - Doe",9,30,0.3,"september.2020"
"A13","Deer - Doe",2,30,0.0666666666666667,"september.2020"
"B02","Deer - Doe",1,30,0.0333333333333333,"september.2020"
"B04","Deer - Doe",13,30,0.433333333333333,"september.2020"
"B06","Deer - Doe",12,30,0.4,"september.2020"
"B08","Deer - Doe",2,30,0.0666666666666667,"september.2020"
"B10","Deer - Doe",0,30,0,"september.2020"
"B12","Deer - Doe",1,30,0.0333333333333333,"september.2020"
"B14","Deer - Doe",19,30,0.633333333333333,"september.2020"
"C03","Deer - Doe",18,30,0.6,"september.2020"
"C05","Deer - Doe",2,7,0.285714285714286,"september.2020"
"C07","Deer - Doe",8,30,0.266666666666667,"september.2020"
"C09","Deer - Doe",15,30,0.5,"september.2020"
"C11","Deer - Doe",6,30,0.2,"september.2020"
"C15","Deer - Doe",9,30,0.3,"september.2020"
"C17","Deer - Doe",21,30,0.7,"september.2020"
"D04","Deer - Doe",10,7,1.42857142857143,"september.2020"
"D06","Deer - Doe",0,8,0,"september.2020"
