Camera,Month,Bobcat_RAI,Fire,Grazed
F08,january.2019,0,Y,N
F10,january.2019,0,Y,N
G09,january.2019,0,Y,N
G11,january.2019,0,Y,N
A03,february.2019,0,Y,N
A13,february.2019,0,N,N
B02,february.2019,0,Y,N
B04,february.2019,0,Y,N
B06,february.2019,0,Y,N
B08,february.2019,0,Y,N
B10,february.2019,0,Y,N
B12,february.2019,0,N,Y
B14,february.2019,0,N,N
C03,february.2019,0.03571429,Y,N
C05,february.2019,0,Y,N
C07,february.2019,0,Y,N
C09,february.2019,0,Y,N
C11,february.2019,0,Y,Y
C15,february.2019,0.07142857,N,Y
C17,february.2019,0.03571429,N,N
D04,february.2019,0,Y,N
D06,february.2019,0,Y,N
D08,february.2019,0,Y,N
D10,february.2019,0,Y,N
D12,february.2019,0.25,N,N
D14,february.2019,0.03571429,N,N
D16,february.2019,0,N,Y
E05,february.2019,0.03571429,Y,N
E07,february.2019,0,Y,N
E09,february.2019,0,Y,N
E11,february.2019,0.03571429,Y,N
E13,february.2019,0,N,Y
E15,february.2019,0.03571429,N,N
E17,february.2019,0,N,Y
F04,february.2019,0,Y,N
F06,february.2019,0,Y,N
F08,february.2019,0,Y,N
F10,february.2019,0,Y,N
G09,february.2019,0,Y,N
G11,february.2019,0,Y,N
A03,march.2019,0,Y,N
A13,march.2019,0,N,N
B02,march.2019,0,Y,N
B04,march.2019,0,Y,N
B06,march.2019,0,Y,N
B08,march.2019,0,Y,N
B10,march.2019,0,Y,N
B12,march.2019,0.03225806,N,Y
B14,march.2019,0,N,N
C03,march.2019,0,Y,N
C05,march.2019,0,Y,N
C07,march.2019,0,Y,N
C09,march.2019,0,Y,N
C11,march.2019,0.06451613,Y,Y
C15,march.2019,0.22580645,N,Y
C17,march.2019,0.03225806,N,N
D04,march.2019,0,Y,N
D06,march.2019,0,Y,N
D08,march.2019,0,Y,N
D10,march.2019,0,Y,N
D12,march.2019,0.35483871,N,N
D14,march.2019,0,N,N
D16,march.2019,0,N,Y
E05,march.2019,0,Y,N
E07,march.2019,0,Y,N
E09,march.2019,0,Y,N
E11,march.2019,0,Y,N
E13,march.2019,0,N,Y
E15,march.2019,0,N,N
E17,march.2019,0,N,Y
F04,march.2019,0,Y,N
F06,march.2019,0,Y,N
F08,march.2019,0,Y,N
F10,march.2019,0,Y,N
G09,march.2019,0,Y,N
G11,march.2019,0,Y,N
A03,april.2019,0.03333333,Y,N
A13,april.2019,0,N,N
B02,april.2019,0,N,N
B04,april.2019,0.03333333,Y,N
B06,april.2019,0,Y,N
B08,april.2019,0.03333333,Y,N
B10,april.2019,0.06666667,Y,N
B12,april.2019,0,N,Y
B14,april.2019,0,N,N
C03,april.2019,0.2,Y,N
C05,april.2019,0,Y,N
C07,april.2019,0,Y,N
C09,april.2019,0,Y,N
C11,april.2019,0.03333333,Y,Y
C15,april.2019,0.23333333,N,Y
C17,april.2019,0,N,N
D04,april.2019,0,Y,N
D06,april.2019,0.03333333,Y,N
D08,april.2019,0,Y,N
D10,april.2019,0,Y,N
D12,april.2019,0.23333333,N,N
D14,april.2019,0.03333333,N,N
D16,april.2019,0,N,Y
E05,april.2019,0.06666667,Y,N
E07,april.2019,0,Y,N
E09,april.2019,0,Y,N
E11,april.2019,0,Y,N
E13,april.2019,0.03333333,N,Y
E17,april.2019,0,N,Y
F04,april.2019,0,Y,N
F06,april.2019,0,Y,N
F08,april.2019,0,Y,N
F10,april.2019,0,Y,N
G09,april.2019,0,Y,N
G11,april.2019,0,Y,N
A03,may.2019,0,Y,N
A13,may.2019,0,N,N
B02,may.2019,0,Y,N
B04,may.2019,0,Y,N
B06,may.2019,0,Y,N
B08,may.2019,0,Y,N
B10,may.2019,0,Y,N
B12,may.2019,0,N,Y
B14,may.2019,0,N,N
C03,may.2019,0.29032258,Y,N
C05,may.2019,0,Y,N
C07,may.2019,0,Y,N
C09,may.2019,0,Y,N
C11,may.2019,0,Y,Y
C15,may.2019,0.03225806,N,Y
C17,may.2019,0,N,N
D04,may.2019,0,Y,N
D10,may.2019,0,Y,N
D12,may.2019,0,N,N
D14,may.2019,0.03225806,N,N
D16,may.2019,0,N,Y
E05,may.2019,0.03225806,Y,N
E07,may.2019,0,Y,N
E09,may.2019,0,Y,N
E11,may.2019,0,Y,N
E13,may.2019,0.09677419,N,Y
E15,may.2019,0,N,N
E17,may.2019,0,N,Y
F04,may.2019,0,Y,N
F06,may.2019,0,Y,N
F08,may.2019,0,Y,N
F10,may.2019,0,Y,N
G09,may.2019,0,Y,N
G11,may.2019,0,Y,N
A03,june.2019,0,Y,N
A13,june.2019,0,N,N
B02,june.2019,0,Y,N
B04,june.2019,0,Y,N
B06,june.2019,0,Y,N
B08,june.2019,0,Y,N
B10,june.2019,0,Y,N
B12,june.2019,0.1,N,Y
B14,june.2019,0,N,N
C03,june.2019,0.13333333,Y,N
C05,june.2019,0,Y,N
C07,june.2019,0,Y,N
C09,june.2019,0,Y,N
C11,june.2019,0,Y,Y
C15,june.2019,0,N,Y
C17,june.2019,0,N,N
D04,june.2019,0,Y,N
D12,june.2019,0.03333333,N,N
D14,june.2019,0,N,N
D16,june.2019,0,N,Y
E05,june.2019,0,Y,N
E07,june.2019,0,Y,N
E09,june.2019,0,Y,N
E11,june.2019,0,Y,N
E13,june.2019,0,N,Y
E15,june.2019,0,N,N
E17,june.2019,0,N,Y
F04,june.2019,0,N,N
F06,june.2019,0,Y,N
F08,june.2019,0,Y,N
F10,june.2019,0,Y,N
G09,june.2019,0,Y,N
G11,june.2019,0,Y,N
A03,july.2019,0,Y,N
A13,july.2019,0,N,N
B02,july.2019,0,Y,N
B04,july.2019,0,Y,N
B06,july.2019,0,Y,N
B08,july.2019,0,Y,N
B10,july.2019,0,Y,N
B12,july.2019,0,N,Y
B14,july.2019,0,N,N
C03,july.2019,0.06451613,Y,N
C05,july.2019,0,Y,N
C07,july.2019,0,Y,N
C09,july.2019,0,Y,N
C11,july.2019,0,Y,Y
C15,july.2019,0,N,Y
C17,july.2019,0,N,N
D04,july.2019,0,Y,N
D12,july.2019,0.03225806,N,N
D14,july.2019,0,N,N
D16,july.2019,0,N,Y
E05,july.2019,0,Y,N
E07,july.2019,0,Y,N
E09,july.2019,0,Y,N
E11,july.2019,0,Y,N
E13,july.2019,0,N,Y
E15,july.2019,0,N,N
E17,july.2019,0,N,Y
F04,july.2019,0,Y,N
F06,july.2019,0,Y,N
F08,july.2019,0,Y,N
F10,july.2019,0,Y,N
G09,july.2019,0,Y,N
G11,july.2019,0,Y,N
A03,august.2019,0,Y,N
A13,august.2019,0,N,N
B02,august.2019,0,Y,N
B04,august.2019,0.03225806,Y,N
B06,august.2019,0,Y,N
B08,august.2019,0,Y,N
B10,august.2019,0,Y,N
B12,august.2019,0,N,Y
B14,august.2019,0,N,N
C03,august.2019,0,Y,N
C05,august.2019,0,Y,N
C07,august.2019,0,Y,N
C09,august.2019,0,Y,N
C11,august.2019,0,Y,Y
C15,august.2019,0,N,Y
C17,august.2019,0,N,N
D04,august.2019,0,Y,N
D12,august.2019,0.03225806,N,N
D14,august.2019,0,N,N
D16,august.2019,0,N,Y
E05,august.2019,0,Y,N
E07,august.2019,0,Y,N
E09,august.2019,0,Y,N
E11,august.2019,0,Y,N
E13,august.2019,0,N,Y
E15,august.2019,0,N,N
E17,august.2019,0,N,Y
F04,august.2019,0,Y,N
F06,august.2019,0,Y,N
F08,august.2019,0,Y,N
F10,august.2019,0,Y,N
G09,august.2019,0,Y,N
G11,august.2019,0,Y,N
